Adam	Y.	Ministère de la Santé Publique et Environnement	Bruxelles	Belgium
Bah	A.	Institut Polytechnique Conakry	Conakry	Guinea
Belyaev 	V.S.	Institute of Ocenalogy	Moscow	Russia 
Berger	A.	Université Catholique de Louvain	Louvain	Belgium
Bowden	K.F.	University of Liverpol	Liverpol	U.K.
Burt	W.V.	Office of Naval Research	London	U.K.
Butti	C.H.	Rijkswaterstaat	s gravenhage	The Netherlands
Caldwell	D.R.	Oregon State University	Oregon	U.S.A.
Chabert d'Hieres 	G.	Institut de Mécanique de Grenoble	Grenoble	France
Coantic	M.	Institut de Mécanique Statistique de la Turbulence	Marseille	France
Colin de Verdiere	A.	C.O.B.	Brest	France
Delcourt	B.	Von Karman Institute for Fluid Dinamics	Rhode St. Gènese	Belgium
Derenne	M.	Université de Liège	Liège	Belgium
Desaubies	Y.J.F.	University of Washington	Seattle	U.S.A.
Dillon	T.M.	Oregon State University	Oregon	U.S.A.
Disteche	A.	Université de Liège	Liège	Belgium
Fedorov	K.	Institute of Ocenalogy	Moscow	Russia 
Ferguson	S.R.	University of Liverpol	Liverpol	U.K.
Gibson	C.H.	University of California San Diego	La Jolla, Ca.	U.S.A.
Goodman	L.	O.N.R.	Washington	U.S.A.
Gordon	C.M.	Naval Research Laboratory	Washington	U.S.A.
Gregg	M.C.	University of Washington	Seattle	U.S.A.
Hauguel	A.	Electricité de France	Chatou	France
Hopfinger	E.	Institut de Mécanique de Grenoble	Grenoble	France
Josserand	M.	Institut de Mécanique de Grenoble	Grenoble	France
Kitaigorodskii	S.A.	University of Copenhagen	Copenhagen	Denmark
Kruseman	P.	K.N.M.I.	De Bilt	The Netherlands
Kullenberg	G.E.B.	University of Copenhagen	Copenhagen	Denmark
Lebon	G.	Université de Liège	Liège	Belgium
Le Provost	C.	Institut de Mécanique de Grenoble	Grenoble	France
Loffet	A.	Université de Liège	Liège	Belgium
Lumley	K.H.	Cornell University	Ithaca	U.S.A.
Mahrt	K.H.	Universität Kiel	Kiel	Germany
Michaux	T.	Université de Liège	Liège	Belgium
Mitchell	J.B.	U.K. Meteorological Office	Bracknell	U.K.
Muller	P.	Harvard University	Cambridge	U.S.A.
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Nizet	J.L.	Université de Liège	Liège	Belgium
Oakey	N.S.	Bedford Institute of Oceanography	Dartmouth	Canada
Olbers	D.	Universität Kiel	Kiel	Germany
Orlanski	I.	Princeton University	New Jersey	U.S.A.
Osborn	T.R.	University of British Columbia	Vancouver	Canada
Ostapoff	F.	Sea-Air Interaction Laboratory	Miami	U.S.A.
Ozer	J.	Université de Liège	Liège	Belgium
Ozmidov	R.V.	Institute of Ocenalogy	Moscow	Russia 
Pachev	S.	University of Sofia	Sofia	Bulgaria
Pasmanter	R. 	Rijkswaterstaat	s gravenhage	The Netherlands
Piacsek	S.A.	NORDA	Bay St. Louis	U.S.A.
Pichot	G.	Ministère de la Santé Publique et Environnement	Bruxelles	Belgium
Renier	I.	Université de Liège	Liège	Belgium
Revault d'Allonnes	M.	Museum d'Histoire Naturelle	Paris	France
Rhines	P.B.	Woods Hole Oceanographic Institution	Woods Hole	U.S.A.
Roisin	B.	Université de Liège and Florida State University	Florida	U.S.A.
Ronday	F.C.	Université de Liège	Liège	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Smitz	J.	Université de Liège	Liège	Belgium
Stroscio	M.A.	Johns Hopkins University	Baltimore, Maryland	U.S.A.
Swift	M.R.	University of New Hampshire	New Hampshire	U.S.A.
Thomasset	F.	IRIA Laborias	Le Chesnay	France
Turner	J.S.	Australian National University	Camberra	Australia
Veth	C.	N.I.O.Z.	Texel	The Netherlands
Woods	J.D.	Universität Kiel	Kiel	Germany
Wolf	J.	I.O.S.	Bidston	U.K.
