Adam	Y.	Université de Liège	Liège	Belgium
Allen	J.S.	Oregon State University 	Corvallis	U.S.A.
Beardsley	B.	M.I.T.	Cambridge	U.S.A.
Biscaye	P.E.	Lamont Observatory	Palisades	U.S.A.
Boicourt	W.	The Johns Hopkins University	Baltimore	U.S.A.
Borremans	F.	Plessey	Bruxelles	Belgium
Bowman	B.	M.I.T. & W.H.O.I.	Woods Hole	U.S.A.
Cannon	G.A.	National Science Foundation	Washington	U.S.A.
Cartwright	D.E.	I.O.S. Bidston	Birkenhead	U.K.
Cazenave	M.	Laboratoire d'Hydraulique	Chatou	France
Chabert d'Hières	G.	Centre National de la Recherche Scientifique	Grenoble	France
Crean	P.E.	University of British Columbia	Vancouver	Canada
Crepon	M.	Museum National d'Histoire Naturelle	Paris	France
Denis	C.	Université de Liège	Liège	Belgium
Disteche	A.	Université de Liège	Liège	Belgium
Dubois	D.	Université de Liège	Liège	Belgium
Durance	J.A.	Fisheries Laboratory	Lowestoft	U.K.
Fieux	M.	Museum National d'Histoire Naturelle	Paris	France
Flagg	C.	M.I.T.	Cambridge	U.S.A.
Flather	R.A.	I.O.S.	Birkenhead	U.K.
Frankignoul	C.J.	University of Hamburg	Hamburg	Germany
Gallardo	Y.	Centre de Recherches Océanographiques	Abidjan	Côte d'Ivoire
Grimshaw	R.	University College London	London	U.K.
Hacker	P.W.	The Johns Hopkins University	Baltimore	U.S.A.
Hayes	S.	University of Washington	Seattle	U.S.A.
Hamon	B.V.	C.S.I.R.O.	Cronulla	Australia
Helle	H.B.	Universitet Bergen	Bergen	Norway
Horn	W.	University of Hamburg	Hamburg	Germany
Hsueh	Y.	Florida State University	Tallahassee	U.S.A.
Käse	R.H.	Institut für Meereskunde an der University of Kiel	Kiel	Germany
Kuo	J.	Lamont Observatory	Palisades	U.S.A.
Lambermont	J.H.	Université de Liège	Liège	Belgium
Laval	H.	Université de Liège	Liège	Belgium
Le Provost	C.	Centre National de la Recherche Scientifique	Grenoble	France
Lebon	G.	Université de Liège	Liège	Belgium
Lejeune	A.H.	Université de Liège	Liège	Belgium
Mamayev	O.	Intergovernmental Oceanographic Commission IOC-UNESCO	Paris	France
Michel	D.	Université Libre de Bruxelles	Bruxelles	Belgium
Millot	C.	Museum National d'Histoire Naturelle	Paris	France
Mooers	C.N.K.	RSMAS University of Miami	Miami	U.S.A.
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Niiler	P.	Oregon State University 	Corvallis	U.S.A.
Pichot	G.	Université de Liège	Liège	Belgium
Prices	J.F.	RSMAS University of Miami	Miami	U.S.A.
Ramming	H.G.	University of Hamburg	Hamburg	Germany
Riepma	H.W.	Koninklijk Nederlands Meteorologisch Instituut	De Bilt	The Netherlands
Ronday	F.	Université de Liège	Liège	Belgium
Runfola	Y.	Université de Liège	Liège	Belgium
Salmon	J.R.	University of Southampton	Southampton	U.K.
Sandström	H.	Bedford Institute	Dartmouth	Canada
Smith	J.	University of Washington	Seattle	U.S.A.
Sundkvist	K.	University of New Hampshire	Durham	U.S.A.
Utne	N.K.	Universitet Bergen	Bergen	Norway
Van Hamme	J.L.	Institut Royal Météorologique	Bruxelles	Belgium
Van Leer	J.	RSMAS University of Miami	Miami	U.S.A.
Walsh	J.	University of Washington	Seattle	U.S.A.
Weatherly	G.L.	Florida State University	Tallahassee	U.S.A.
Weissman	M.A.	National Physical Laboratory	Teddington	U.K.
Wibin	P.	Ministère de la Politique Scientifique	Bruxelles	Belgium
Williams	R.	NATO Saclant Research Center 	La Spezia	Italy
